iter	Logloss	Accuracy
0	0.5588445778	0.8870967742
1	0.5150295787	0.9032258065
2	0.4471004866	0.9032258065
3	0.3963600665	0.9032258065
4	0.37488394	0.8870967742
5	0.3429266236	0.9032258065
6	0.3073954838	0.9032258065
7	0.287934815	0.9193548387
8	0.2714636577	0.9193548387
9	0.2622938391	0.9193548387
10	0.2461992524	0.935483871
11	0.2337784793	0.935483871
12	0.2191278537	0.935483871
13	0.2163319163	0.935483871
14	0.2054653431	0.935483871
15	0.2045361406	0.935483871
16	0.1987506424	0.935483871
17	0.1821505217	0.935483871
18	0.1797817691	0.935483871
19	0.1725135626	0.935483871
20	0.1719070102	0.935483871
21	0.165315431	0.935483871
22	0.1604889155	0.935483871
23	0.1602349132	0.935483871
